archivo_original,mejor_match_nombre_completo,score,archivo_salida,accion,nota,destino_original
carlosalberto_lezama_urtecho.webp,Carlos Alberto Lezama Urtecho,100,carlosalberto_lezama_urtecho-1.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\carlosalberto_lezama_urtecho.webp
ceciliaguadalupe_rojo_vazquez.webp,Cecilia Guadalupe Rojo Vázquez,100,ceciliaguadalupe_rojo_vázquez.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\ceciliaguadalupe_rojo_vazquez.webp
cuauhtemoc_villagomez_rodriguez.webp,Cuauhtémoc Villagómez Rodríguez,100,cuauhtémoc_villagómez_rodríguez.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\cuauhtemoc_villagomez_rodriguez.webp
daliaitzel_tello_lopez.webp,Dalia Itzel Tello López,100,daliaitzel_tello_lópez.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\daliaitzel_tello_lopez.webp
daniel_ballesteros_herrera.webp,Daniel Ballesteros Herrera,100,daniel_ballesteros_herrera.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\daniel_ballesteros_herrera.webp
davidancona_dorantes.webp,David Ancona Dorantes,100,david_ancona_dorantes.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\davidancona_dorantes.webp
davidjose_heredia_vazquez.webp,David José Heredia Vázquez,100,davidjosé_heredia_vázquez.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\davidjose_heredia_vazquez.webp
diegogabriel_torres_romo.webp,Diego Gabriel Torres Romo,100,diegogabriel_torres_romo.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\diegogabriel_torres_romo.webp
edgar-hernandez-abarca.webp,Edgar Hernández Abarca,100,edgar_hernández_abarca.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\edgar-hernandez-abarca.webp
edgar-lopez-virgen.webp,Edgar López Virgen,100,edgar_lópez_virgen.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\edgar-lopez-virgen.webp
edgaralain_becerra.webp,,78,,movido,sin coincidencia,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\sin_coincidencia\edgaralain_becerra.webp
edgaralejandro_reyes_garcia.webp,Edgar Alejandro Reyes García,100,edgaralejandro_reyes_garcía.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\edgaralejandro_reyes_garcia.webp
edgar_hernandez_abarca.webp,Edgar Hernández Abarca,100,edgar_hernández_abarca-1.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\edgar_hernandez_abarca.webp
edgar_lopez_virgen.webp,Edgar López Virgen,100,edgar_lópez_virgen-1.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\edgar_lopez_virgen.webp
eduardo_ramos_reyna.webp,Eduardo Ramos Reyna,100,eduardo_ramos_reyna.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\eduardo_ramos_reyna.webp
elizabeth_dominguez_hernandez.webp,,65,,movido,sin coincidencia,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\sin_coincidencia\elizabeth_dominguez_hernandez.webp
esmeralda_arango_gopar.webp,Esmeralda Arango Gopar,100,esmeralda_arango_gopar.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\esmeralda_arango_gopar.webp
estherestefanIa_chavez_perez.webp,Esther Estefanía Chávez Pérez,100,estherestefanía_chávez_pérez.webp,copiado_y_archivado,,c:\Users\dofus\Visual Studio\app fotos medicos\medicos_archivo\match_100\estherestefanIa_chavez_perez.webp
